"","Unique_ID","Codec","Bitrate","Resolution","Packet_Loss","SSIM","VMAF","MOS","sd_OS","fair_better"
"294",294,1,2,0,4,0.62924,36.64,1.05,0.219784178,0.016666667
"295",295,1,2,0,5,0.53176,30.15,1,0,0
"296",296,1,0,0,0,0.9554,90.09,2.4,0.558448213,0
"297",297,1,0,0,1,0.9482,89.11,2.066666667,0.445948491,0
"298",298,1,0,0,2,0.93956,87.02,2.033333333,0.581251329,0.433333333
"299",299,1,0,0,3,0.85364,59.67,1.766666667,0.499717434,0.133333333
"300",300,1,0,0,4,0.75063,54.16,1.333333333,0.475382689,0.183333333
"301",301,1,0,0,5,0.65942,30.89,1,0,0.033333333
"302",302,1,1,2,0,0.95058,93.54,2.25,0.473894789,0
"303",303,1,1,2,1,0.92875,87.35,1.816666667,0.469101798,0
"304",304,1,1,2,2,0.89609,83.64,1.7,0.462124791,0.266666667
"305",305,1,1,2,3,0.841,72.02,1.733333333,0.445948491,0.033333333
"306",306,1,1,2,4,0.71219,54.38,1.166666667,0.375823014,0
"307",307,1,1,2,0,0.63462,60.15,1,0,0
"308",308,1,2,2,0,0.90255,85.84,1.866666667,0.503097749,0
"309",309,1,2,2,2,0.83531,82.01,1.283333333,0.454419603,0
"310",310,1,2,2,3,0.73415,63.56,1.033333333,0.181020335,0.066666667
"311",311,1,0,2,0,0.96382,93.87,2.483333333,0.536519438,0
"312",312,1,0,2,1,0.9417,90.3,2.116666667,0.490301418,0
"313",313,1,0,2,2,0.93025,86.44,2.066666667,0.516397779,0
"314",314,1,0,2,3,0.88825,78.74,1.833333333,0.52615222,0
"315",315,1,0,2,4,0.85816,76.53,1.366666667,0.485961101,0.5
"316",316,1,0,2,5,0.84527,75.45,1,0,0.183333333
"317",317,0,1,1,0,0.95553,95.85,3.666666667,0.751646028,0.166666667
"318",318,0,1,1,1,0.91183,90.33,3.116666667,0.323731772,0.066666667
"319",319,0,1,1,2,0.85983,81.5,2.783333333,0.523730642,0
"320",320,0,1,1,3,0.76276,71.66,1.45,0.501692052,0
"321",321,0,1,1,4,0.72527,23.82,1.3,0.462124791,1
"322",322,0,1,1,0,0.71614,16.54,1.15,0.360084736,1
"323",323,0,2,1,0,0.94954,93.25,2.916666667,0.461819051,0.733333333
"324",324,0,2,1,1,0.83585,80.97,2.266666667,0.445948491,0
"325",325,0,2,1,2,0.77539,75.58,1.95,0.534409226,0
"326",326,0,2,1,3,0.76105,54.38,1.666666667,0.475382689,0
"327",327,0,2,1,4,0.73508,45.82,1.033333333,0.181020335,0.85
"328",328,0,2,1,5,0.69923,18.4,1.033333333,0.181020335,0.266666667
"329",329,0,0,1,0,0.97979,92.42,2.35,0.480994732,0.116666667
"330",330,0,0,1,1,0.94281,89.52,1.916666667,0.423531027,0
"331",331,0,0,1,2,0.8928,82.33,1.566666667,0.499717434,0
"332",332,0,0,1,3,0.78046,55.53,1.316666667,0.469101798,0
"333",333,0,0,1,4,0.76148,48.47,1.133333333,0.342803332,0.35
"334",334,0,0,1,5,0.72112,23.09,1.033333333,0.181020335,0.05
"335",335,0,1,0,0,0.93452,89.96,3.783333333,0.613179175,0
"336",336,0,1,0,1,0.89953,86.02,3.583333333,0.497167116,0
"337",337,0,1,0,2,0.75062,58.45,3.016666667,0.503939284,0
"338",338,0,1,0,3,0.67543,54.87,2.983333333,0.469101798,0
"339",339,0,1,0,4,0.61899,46.03,2.3,0.645716,1
"340",340,0,1,0,0,0.60199,46.07,2.15,0.444362045,1
"341",341,0,2,0,0,0.92667,87.77,3.583333333,0.497167116,0.883333333
"342",342,0,2,0,1,0.88735,84.07,3.233333333,0.426521868,0.883333333
"343",343,0,2,0,2,0.74334,41.63,2.866666667,0.389117501,0.4
"344",344,0,2,0,3,0.71401,35.71,2.55,0.534409226,0.183333333
"345",345,0,2,0,4,0.60417,33.84,2.066666667,0.516397779,1
"346",346,0,2,0,5,0.59096,31.71,1.966666667,0.485961101,1
"347",347,0,0,0,0,0.9463,89.64,3.75,0.600141226,0.85
"348",348,0,0,0,1,0.9416,90.45,3.733333333,0.445948491,0.566666667
"349",349,0,0,0,2,0.81954,77.25,2.783333333,0.415450202,0.166666667
