,Unique_ID,Codec,Bitrate,Resolution,Packet_Loss,SSIM,VMAF,fair_better,Opinion_Score
141,3,0,1,1,2,0.961,65.19,0.2,2
142,3,0,1,1,2,0.961,65.19,0.2,2
143,3,0,1,1,2,0.961,65.19,0.2,2
144,3,0,1,1,2,0.961,65.19,0.2,2
145,3,0,1,1,2,0.961,65.19,0.2,2
146,3,0,1,1,2,0.961,65.19,0.2,2
147,3,0,1,1,2,0.961,65.19,0.2,2
148,3,0,1,1,2,0.961,65.19,0.2,2
149,3,0,1,1,2,0.961,65.19,0.2,2
150,3,0,1,1,2,0.961,65.19,0.2,3
151,3,0,1,1,2,0.961,65.19,0.2,3
152,3,0,1,1,2,0.961,65.19,0.2,2
153,3,0,1,1,2,0.961,65.19,0.2,2
154,3,0,1,1,2,0.961,65.19,0.2,2
155,3,0,1,1,2,0.961,65.19,0.2,3
156,3,0,1,1,2,0.961,65.19,0.2,3
157,3,0,1,1,2,0.961,65.19,0.2,2
158,3,0,1,1,2,0.961,65.19,0.2,2
159,3,0,1,1,2,0.961,65.19,0.2,2
160,3,0,1,1,2,0.961,65.19,0.2,3
161,3,0,1,1,2,0.961,65.19,0.2,3
162,3,0,1,1,2,0.961,65.19,0.2,2
163,3,0,1,1,2,0.961,65.19,0.2,2
164,3,0,1,1,2,0.961,65.19,0.2,2
165,3,0,1,1,2,0.961,65.19,0.2,2
166,3,0,1,1,2,0.961,65.19,0.2,2
167,3,0,1,1,2,0.961,65.19,0.2,2
168,3,0,1,1,2,0.961,65.19,0.2,2
169,3,0,1,1,2,0.961,65.19,0.2,2
170,3,0,1,1,2,0.961,65.19,0.2,2
171,3,0,1,1,2,0.961,65.19,0.2,2
172,3,0,1,1,2,0.961,65.19,0.2,2
173,3,0,1,1,2,0.961,65.19,0.2,2
174,3,0,1,1,2,0.961,65.19,0.2,2
175,3,0,1,1,2,0.961,65.19,0.2,2
176,3,0,1,1,2,0.961,65.19,0.2,2
177,3,0,1,1,2,0.961,65.19,0.2,2
178,3,0,1,1,2,0.961,65.19,0.2,2
179,3,0,1,1,2,0.961,65.19,0.2,2
180,3,0,1,1,2,0.961,65.19,0.2,3
181,4,0,1,1,3,0.945,31.4,0.1,2
182,4,0,1,1,3,0.945,31.4,0.1,2
183,4,0,1,1,3,0.945,31.4,0.1,2
184,4,0,1,1,3,0.945,31.4,0.1,2
185,4,0,1,1,3,0.945,31.4,0.1,2
186,4,0,1,1,3,0.945,31.4,0.1,3
187,4,0,1,1,3,0.945,31.4,0.1,3
188,4,0,1,1,3,0.945,31.4,0.1,2
189,4,0,1,1,3,0.945,31.4,0.1,2
190,4,0,1,1,3,0.945,31.4,0.1,1
191,4,0,1,1,3,0.945,31.4,0.1,2
192,4,0,1,1,3,0.945,31.4,0.1,1
193,4,0,1,1,3,0.945,31.4,0.1,3
194,4,0,1,1,3,0.945,31.4,0.1,2
195,4,0,1,1,3,0.945,31.4,0.1,2
196,4,0,1,1,3,0.945,31.4,0.1,2
197,4,0,1,1,3,0.945,31.4,0.1,2
198,4,0,1,1,3,0.945,31.4,0.1,2
199,4,0,1,1,3,0.945,31.4,0.1,2
200,4,0,1,1,3,0.945,31.4,0.1,1
201,4,0,1,1,3,0.945,31.4,0.1,2
202,4,0,1,1,3,0.945,31.4,0.1,3
203,4,0,1,1,3,0.945,31.4,0.1,2
204,4,0,1,1,3,0.945,31.4,0.1,2
205,4,0,1,1,3,0.945,31.4,0.1,2
206,4,0,1,1,3,0.945,31.4,0.1,2
207,4,0,1,1,3,0.945,31.4,0.1,2
208,4,0,1,1,3,0.945,31.4,0.1,2
209,4,0,1,1,3,0.945,31.4,0.1,2
210,4,0,1,1,3,0.945,31.4,0.1,2
211,4,0,1,1,3,0.945,31.4,0.1,2
212,4,0,1,1,3,0.945,31.4,0.1,2
213,4,0,1,1,3,0.945,31.4,0.1,2
214,4,0,1,1,3,0.945,31.4,0.1,2
215,4,0,1,1,3,0.945,31.4,0.1,2
216,4,0,1,1,3,0.945,31.4,0.1,2
217,4,0,1,1,3,0.945,31.4,0.1,2
218,4,0,1,1,3,0.945,31.4,0.1,2
219,4,0,1,1,3,0.945,31.4,0.1,2
220,4,0,1,1,3,0.945,31.4,0.1,3
221,4,0,1,1,3,0.945,31.4,0.1,3
222,4,0,1,1,3,0.945,31.4,0.1,1
223,4,0,1,1,3,0.945,31.4,0.1,2
224,4,0,1,1,3,0.945,31.4,0.1,2
225,4,0,1,1,3,0.945,31.4,0.1,2
226,4,0,1,1,3,0.945,31.4,0.1,2
227,4,0,1,1,3,0.945,31.4,0.1,2
228,4,0,1,1,3,0.945,31.4,0.1,1
229,4,0,1,1,3,0.945,31.4,0.1,1
230,4,0,1,1,3,0.945,31.4,0.1,2
231,4,0,1,1,3,0.945,31.4,0.1,2
232,4,0,1,1,3,0.945,31.4,0.1,2
233,4,0,1,1,3,0.945,31.4,0.1,2
234,4,0,1,1,3,0.945,31.4,0.1,2
235,4,0,1,1,3,0.945,31.4,0.1,2
236,4,0,1,1,3,0.945,31.4,0.1,2
237,4,0,1,1,3,0.945,31.4,0.1,2
238,4,0,1,1,3,0.945,31.4,0.1,2
239,4,0,1,1,3,0.945,31.4,0.1,2
240,4,0,1,1,3,0.945,31.4,0.1,2
241,5,0,1,1,4,0.92,30.37,0,1
242,5,0,1,1,4,0.92,30.37,0,1
243,5,0,1,1,4,0.92,30.37,0,2
244,5,0,1,1,4,0.92,30.37,0,2
245,5,0,1,1,4,0.92,30.37,0,2
246,5,0,1,1,4,0.92,30.37,0,2
247,5,0,1,1,4,0.92,30.37,0,2
248,5,0,1,1,4,0.92,30.37,0,2
249,5,0,1,1,4,0.92,30.37,0,2
250,5,0,1,1,4,0.92,30.37,0,2
251,5,0,1,1,4,0.92,30.37,0,2
252,5,0,1,1,4,0.92,30.37,0,2
253,5,0,1,1,4,0.92,30.37,0,1
254,5,0,1,1,4,0.92,30.37,0,1
255,5,0,1,1,4,0.92,30.37,0,1
256,5,0,1,1,4,0.92,30.37,0,1
257,5,0,1,1,4,0.92,30.37,0,2
258,5,0,1,1,4,0.92,30.37,0,2
259,5,0,1,1,4,0.92,30.37,0,2
260,5,0,1,1,4,0.92,30.37,0,1
261,5,0,1,1,4,0.92,30.37,0,2
262,5,0,1,1,4,0.92,30.37,0,2
263,5,0,1,1,4,0.92,30.37,0,2
264,5,0,1,1,4,0.92,30.37,0,2
265,5,0,1,1,4,0.92,30.37,0,2
266,5,0,1,1,4,0.92,30.37,0,2
267,5,0,1,1,4,0.92,30.37,0,2
268,5,0,1,1,4,0.92,30.37,0,1
269,5,0,1,1,4,0.92,30.37,0,1
270,5,0,1,1,4,0.92,30.37,0,2
271,5,0,1,1,4,0.92,30.37,0,1
272,5,0,1,1,4,0.92,30.37,0,1
273,5,0,1,1,4,0.92,30.37,0,2
274,5,0,1,1,4,0.92,30.37,0,2
275,5,0,1,1,4,0.92,30.37,0,2
276,5,0,1,1,4,0.92,30.37,0,2
277,5,0,1,1,4,0.92,30.37,0,2
278,5,0,1,1,4,0.92,30.37,0,2
279,5,0,1,1,4,0.92,30.37,0,2
280,5,0,1,1,4,0.92,30.37,0,2
281,5,0,1,1,4,0.92,30.37,0,2
282,5,0,1,1,4,0.92,30.37,0,2
283,5,0,1,1,4,0.92,30.37,0,1
284,5,0,1,1,4,0.92,30.37,0,1
285,5,0,1,1,4,0.92,30.37,0,1
286,5,0,1,1,4,0.92,30.37,0,1
287,5,0,1,1,4,0.92,30.37,0,2
288,5,0,1,1,4,0.92,30.37,0,2
289,5,0,1,1,4,0.92,30.37,0,2
290,5,0,1,1,4,0.92,30.37,0,1
291,5,0,1,1,4,0.92,30.37,0,2
292,5,0,1,1,4,0.92,30.37,0,2
293,5,0,1,1,4,0.92,30.37,0,2
294,5,0,1,1,4,0.92,30.37,0,2
295,5,0,1,1,4,0.92,30.37,0,2
296,5,0,1,1,4,0.92,30.37,0,2
297,5,0,1,1,4,0.92,30.37,0,2
298,5,0,1,1,4,0.92,30.37,0,1
299,5,0,1,1,4,0.92,30.37,0,1
300,5,0,1,1,4,0.92,30.37,0,2
301,6,0,1,1,0,0.904,30.04,0,1
302,6,0,1,1,0,0.904,30.04,0,2
303,6,0,1,1,0,0.904,30.04,0,1
304,6,0,1,1,0,0.904,30.04,0,1
305,6,0,1,1,0,0.904,30.04,0,1
306,6,0,1,1,0,0.904,30.04,0,2
307,6,0,1,1,0,0.904,30.04,0,2
308,6,0,1,1,0,0.904,30.04,0,1
309,6,0,1,1,0,0.904,30.04,0,1
310,6,0,1,1,0,0.904,30.04,0,1
311,6,0,1,1,0,0.904,30.04,0,2
312,6,0,1,1,0,0.904,30.04,0,1
313,6,0,1,1,0,0.904,30.04,0,2
314,6,0,1,1,0,0.904,30.04,0,1
315,6,0,1,1,0,0.904,30.04,0,1
316,6,0,1,1,0,0.904,30.04,0,1
317,6,0,1,1,0,0.904,30.04,0,2
318,6,0,1,1,0,0.904,30.04,0,1
319,6,0,1,1,0,0.904,30.04,0,1
320,6,0,1,1,0,0.904,30.04,0,1
321,6,0,1,1,0,0.904,30.04,0,2
322,6,0,1,1,0,0.904,30.04,0,2
323,6,0,1,1,0,0.904,30.04,0,2
324,6,0,1,1,0,0.904,30.04,0,1
325,6,0,1,1,0,0.904,30.04,0,2
326,6,0,1,1,0,0.904,30.04,0,1
327,6,0,1,1,0,0.904,30.04,0,1
328,6,0,1,1,0,0.904,30.04,0,1
329,6,0,1,1,0,0.904,30.04,0,2
330,6,0,1,1,0,0.904,30.04,0,1
331,6,0,1,1,0,0.904,30.04,0,1
332,6,0,1,1,0,0.904,30.04,0,2
333,6,0,1,1,0,0.904,30.04,0,1
334,6,0,1,1,0,0.904,30.04,0,1
335,6,0,1,1,0,0.904,30.04,0,1
336,6,0,1,1,0,0.904,30.04,0,2
337,6,0,1,1,0,0.904,30.04,0,2
338,6,0,1,1,0,0.904,30.04,0,1
339,6,0,1,1,0,0.904,30.04,0,1
340,6,0,1,1,0,0.904,30.04,0,1
341,6,0,1,1,0,0.904,30.04,0,2
342,6,0,1,1,0,0.904,30.04,0,1
343,6,0,1,1,0,0.904,30.04,0,2
344,6,0,1,1,0,0.904,30.04,0,1
345,6,0,1,1,0,0.904,30.04,0,1
346,6,0,1,1,0,0.904,30.04,0,1
347,6,0,1,1,0,0.904,30.04,0,2
348,6,0,1,1,0,0.904,30.04,0,1
349,6,0,1,1,0,0.904,30.04,0,1
350,6,0,1,1,0,0.904,30.04,0,1
351,6,0,1,1,0,0.904,30.04,0,2
352,6,0,1,1,0,0.904,30.04,0,2
353,6,0,1,1,0,0.904,30.04,0,2
354,6,0,1,1,0,0.904,30.04,0,1
355,6,0,1,1,0,0.904,30.04,0,2
356,6,0,1,1,0,0.904,30.04,0,1
357,6,0,1,1,0,0.904,30.04,0,1
358,6,0,1,1,0,0.904,30.04,0,1
359,6,0,1,1,0,0.904,30.04,0,2
360,6,0,1,1,0,0.904,30.04,0,1
361,7,0,2,1,0,0.985,94.94,1,3
362,7,0,2,1,0,0.985,94.94,1,4
363,7,0,2,1,0,0.985,94.94,1,3
364,7,0,2,1,0,0.985,94.94,1,3
365,7,0,2,1,0,0.985,94.94,1,3
366,7,0,2,1,0,0.985,94.94,1,4
367,7,0,2,1,0,0.985,94.94,1,3
368,7,0,2,1,0,0.985,94.94,1,3
369,7,0,2,1,0,0.985,94.94,1,3
370,7,0,2,1,0,0.985,94.94,1,3
371,7,0,2,1,0,0.985,94.94,1,3
372,7,0,2,1,0,0.985,94.94,1,3
373,7,0,2,1,0,0.985,94.94,1,3
374,7,0,2,1,0,0.985,94.94,1,3
375,7,0,2,1,0,0.985,94.94,1,3
376,7,0,2,1,0,0.985,94.94,1,3
377,7,0,2,1,0,0.985,94.94,1,3
378,7,0,2,1,0,0.985,94.94,1,3
379,7,0,2,1,0,0.985,94.94,1,3
380,7,0,2,1,0,0.985,94.94,1,3
381,7,0,2,1,0,0.985,94.94,1,3
382,7,0,2,1,0,0.985,94.94,1,3
383,7,0,2,1,0,0.985,94.94,1,3
384,7,0,2,1,0,0.985,94.94,1,3
385,7,0,2,1,0,0.985,94.94,1,3
386,7,0,2,1,0,0.985,94.94,1,3
387,7,0,2,1,0,0.985,94.94,1,3
388,7,0,2,1,0,0.985,94.94,1,3
389,7,0,2,1,0,0.985,94.94,1,3
390,7,0,2,1,0,0.985,94.94,1,3
391,7,0,2,1,0,0.985,94.94,1,3
392,7,0,2,1,0,0.985,94.94,1,4
393,7,0,2,1,0,0.985,94.94,1,4
394,7,0,2,1,0,0.985,94.94,1,3
395,7,0,2,1,0,0.985,94.94,1,3
396,7,0,2,1,0,0.985,94.94,1,4
397,7,0,2,1,0,0.985,94.94,1,3
398,7,0,2,1,0,0.985,94.94,1,3
399,7,0,2,1,0,0.985,94.94,1,3
400,7,0,2,1,0,0.985,94.94,1,3
401,7,0,2,1,0,0.985,94.94,1,3
402,7,0,2,1,0,0.985,94.94,1,3
403,7,0,2,1,0,0.985,94.94,1,3
404,7,0,2,1,0,0.985,94.94,1,3
405,7,0,2,1,0,0.985,94.94,1,3
406,7,0,2,1,0,0.985,94.94,1,3
407,7,0,2,1,0,0.985,94.94,1,3
408,7,0,2,1,0,0.985,94.94,1,3
409,7,0,2,1,0,0.985,94.94,1,3
410,7,0,2,1,0,0.985,94.94,1,4
411,7,0,2,1,0,0.985,94.94,1,3
412,7,0,2,1,0,0.985,94.94,1,3
413,7,0,2,1,0,0.985,94.94,1,3
414,7,0,2,1,0,0.985,94.94,1,3
415,7,0,2,1,0,0.985,94.94,1,3
416,7,0,2,1,0,0.985,94.94,1,3
417,7,0,2,1,0,0.985,94.94,1,4
418,7,0,2,1,0,0.985,94.94,1,3
419,7,0,2,1,0,0.985,94.94,1,3
420,7,0,2,1,0,0.985,94.94,1,3
421,8,0,2,1,1,0.945,48.69,0.516666667,2
422,8,0,2,1,1,0.945,48.69,0.516666667,3
423,8,0,2,1,1,0.945,48.69,0.516666667,3
424,8,0,2,1,1,0.945,48.69,0.516666667,3
425,8,0,2,1,1,0.945,48.69,0.516666667,3
426,8,0,2,1,1,0.945,48.69,0.516666667,3
427,8,0,2,1,1,0.945,48.69,0.516666667,3
428,8,0,2,1,1,0.945,48.69,0.516666667,2
429,8,0,2,1,1,0.945,48.69,0.516666667,2
430,8,0,2,1,1,0.945,48.69,0.516666667,2
431,8,0,2,1,1,0.945,48.69,0.516666667,2
432,8,0,2,1,1,0.945,48.69,0.516666667,2
433,8,0,2,1,1,0.945,48.69,0.516666667,2
434,8,0,2,1,1,0.945,48.69,0.516666667,3
435,8,0,2,1,1,0.945,48.69,0.516666667,3
436,8,0,2,1,1,0.945,48.69,0.516666667,3
437,8,0,2,1,1,0.945,48.69,0.516666667,2
438,8,0,2,1,1,0.945,48.69,0.516666667,3
439,8,0,2,1,1,0.945,48.69,0.516666667,3
440,8,0,2,1,1,0.945,48.69,0.516666667,3
441,8,0,2,1,1,0.945,48.69,0.516666667,2
442,8,0,2,1,1,0.945,48.69,0.516666667,3
443,8,0,2,1,1,0.945,48.69,0.516666667,2
444,8,0,2,1,1,0.945,48.69,0.516666667,2
445,8,0,2,1,1,0.945,48.69,0.516666667,2
446,8,0,2,1,1,0.945,48.69,0.516666667,3
447,8,0,2,1,1,0.945,48.69,0.516666667,3
448,8,0,2,1,1,0.945,48.69,0.516666667,3
449,8,0,2,1,1,0.945,48.69,0.516666667,3
450,8,0,2,1,1,0.945,48.69,0.516666667,2
451,8,0,2,1,1,0.945,48.69,0.516666667,2
452,8,0,2,1,1,0.945,48.69,0.516666667,2
453,8,0,2,1,1,0.945,48.69,0.516666667,2
454,8,0,2,1,1,0.945,48.69,0.516666667,2
455,8,0,2,1,1,0.945,48.69,0.516666667,3
456,8,0,2,1,1,0.945,48.69,0.516666667,2
457,8,0,2,1,1,0.945,48.69,0.516666667,3
458,8,0,2,1,1,0.945,48.69,0.516666667,2
459,8,0,2,1,1,0.945,48.69,0.516666667,2
460,8,0,2,1,1,0.945,48.69,0.516666667,3
461,8,0,2,1,1,0.945,48.69,0.516666667,3
462,8,0,2,1,1,0.945,48.69,0.516666667,3
463,8,0,2,1,1,0.945,48.69,0.516666667,2
464,8,0,2,1,1,0.945,48.69,0.516666667,2
465,8,0,2,1,1,0.945,48.69,0.516666667,3
466,8,0,2,1,1,0.945,48.69,0.516666667,3
467,8,0,2,1,1,0.945,48.69,0.516666667,2
468,8,0,2,1,1,0.945,48.69,0.516666667,3
469,8,0,2,1,1,0.945,48.69,0.516666667,3
470,8,0,2,1,1,0.945,48.69,0.516666667,2
471,8,0,2,1,1,0.945,48.69,0.516666667,2
472,8,0,2,1,1,0.945,48.69,0.516666667,2
473,8,0,2,1,1,0.945,48.69,0.516666667,2
474,8,0,2,1,1,0.945,48.69,0.516666667,3
475,8,0,2,1,1,0.945,48.69,0.516666667,3
476,8,0,2,1,1,0.945,48.69,0.516666667,3
477,8,0,2,1,1,0.945,48.69,0.516666667,2
478,8,0,2,1,1,0.945,48.69,0.516666667,2
479,8,0,2,1,1,0.945,48.69,0.516666667,3
480,8,0,2,1,1,0.945,48.69,0.516666667,3
481,9,0,2,1,2,0.937,43.93,0.4,2
482,9,0,2,1,2,0.937,43.93,0.4,2
483,9,0,2,1,2,0.937,43.93,0.4,3
484,9,0,2,1,2,0.937,43.93,0.4,3
485,9,0,2,1,2,0.937,43.93,0.4,2
486,9,0,2,1,2,0.937,43.93,0.4,2
487,9,0,2,1,2,0.937,43.93,0.4,2
488,9,0,2,1,2,0.937,43.93,0.4,2
489,9,0,2,1,2,0.937,43.93,0.4,2
490,9,0,2,1,2,0.937,43.93,0.4,2
491,9,0,2,1,2,0.937,43.93,0.4,2
492,9,0,2,1,2,0.937,43.93,0.4,2
493,9,0,2,1,2,0.937,43.93,0.4,2
494,9,0,2,1,2,0.937,43.93,0.4,2
495,9,0,2,1,2,0.937,43.93,0.4,3
496,9,0,2,1,2,0.937,43.93,0.4,3
497,9,0,2,1,2,0.937,43.93,0.4,3
498,9,0,2,1,2,0.937,43.93,0.4,3
499,9,0,2,1,2,0.937,43.93,0.4,3
500,9,0,2,1,2,0.937,43.93,0.4,3
501,9,0,2,1,2,0.937,43.93,0.4,2
502,9,0,2,1,2,0.937,43.93,0.4,2
503,9,0,2,1,2,0.937,43.93,0.4,2
504,9,0,2,1,2,0.937,43.93,0.4,2
505,9,0,2,1,2,0.937,43.93,0.4,2
506,9,0,2,1,2,0.937,43.93,0.4,2
507,9,0,2,1,2,0.937,43.93,0.4,2
508,9,0,2,1,2,0.937,43.93,0.4,2
509,9,0,2,1,2,0.937,43.93,0.4,2
510,9,0,2,1,2,0.937,43.93,0.4,2
511,9,0,2,1,2,0.937,43.93,0.4,3
512,9,0,2,1,2,0.937,43.93,0.4,2
513,9,0,2,1,2,0.937,43.93,0.4,3
514,9,0,2,1,2,0.937,43.93,0.4,3
515,9,0,2,1,2,0.937,43.93,0.4,3
516,9,0,2,1,2,0.937,43.93,0.4,2
517,9,0,2,1,2,0.937,43.93,0.4,2
518,9,0,2,1,2,0.937,43.93,0.4,3
519,9,0,2,1,2,0.937,43.93,0.4,3
520,9,0,2,1,2,0.937,43.93,0.4,3
521,9,0,2,1,2,0.937,43.93,0.4,3
522,9,0,2,1,2,0.937,43.93,0.4,2
523,9,0,2,1,2,0.937,43.93,0.4,2
524,9,0,2,1,2,0.937,43.93,0.4,2
525,9,0,2,1,2,0.937,43.93,0.4,3
526,9,0,2,1,2,0.937,43.93,0.4,3
527,9,0,2,1,2,0.937,43.93,0.4,3
528,9,0,2,1,2,0.937,43.93,0.4,2
529,9,0,2,1,2,0.937,43.93,0.4,2
530,9,0,2,1,2,0.937,43.93,0.4,2
531,9,0,2,1,2,0.937,43.93,0.4,3
532,9,0,2,1,2,0.937,43.93,0.4,3
